K,D_over_A,nu,pooled,nu_tot,reps,rho,kappa,eps,eta,err_kap_rate,err_s_rate,rse_kappa,rse_s,ci_kappa_cover,ci_union_cover,ci_gw_cover,cov_oracle,cov_plug,cov_safe,width_safe_over_oracle,width_plug_over_oracle,width_safe_over_anchor,width_oracle_over_anchor,cert_fixed_K,false_fixed_K,falses_fixed_K,cert_plug_frozen,false_plug_frozen,falses_plug_frozen,cert_plug_matched,false_plug_matched,falses_plug_matched,cert_ci_union,false_ci_union,falses_ci_union,cert_ci_gw,false_ci_gw,falses_ci_gw,cert_ci_kappa,false_ci_kappa,falses_ci_kappa,false_ci_kappa_star
30,1.0,12.0,True,360.0,20000,0.7071067811865476,0.7071067811865476,0.1,0.05,0.46545,0.71105,0.2009171718016176,0.2925538713029959,0.94875,0.9713,0.9477,0.96595,0.92155,0.9809,1.1862410784223156,0.94186266948921,0.8387991106744624,0.7071067811865476,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0045,0.0045,0.0045,0.0045
30,1.0,40.0,True,1200.0,20000,0.7071067811865476,0.7071067811865476,0.1,0.05,0.4487,0.7067,0.1953249060085749,0.28852684656500904,0.95025,0.965,0.94925,0.9643,0.92105,0.97985,1.1835239998570735,0.9424994514054531,0.836877845995963,0.7071067811865476,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0033,0.0033,0.0033,0.0033
30,4.0,4.0,True,120.0,20000,0.8944271909999159,0.44721359549995787,0.1,0.05,0.866,0.889,0.5613005319418579,0.6426491760459433,0.94975,0.98825,0.95075,0.9652,0.6994,0.98635,1.6308339686011248,0.8184635663563399,0.7293311227615743,0.44721359549995787,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,4.0,12.0,True,360.0,20000,0.8944271909999159,0.44721359549995787,0.1,0.05,0.85825,0.8832,0.546128021453665,0.6311996244748646,0.9505,0.98055,0.95015,0.966,0.70395,0.98635,1.6104530837587094,0.8059265014157899,0.7202165139717274,0.44721359549995787,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,4.0,40.0,True,1200.0,20000,0.8944271909999159,0.44721359549995787,0.1,0.05,0.8517,0.88305,0.5390227219011,0.6264048654437966,0.9496,0.96995,0.9498,0.9648,0.7039,0.9865,1.6029211274420263,0.8039445153497867,0.7168481207061946,0.44721359549995787,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100,0.25,4.0,True,400.0,20000,0.4472135954999579,0.8944271909999159,0.1,0.05,0.0005,0.26395,0.020934244011879048,0.08949351378425789,0.9483,0.96815,0.9496,0.9492,0.9478,0.95495,1.0323353506832034,0.9970826946106952,0.9233488078814905,0.8944271909999159,1.0,0.0005,0.26395,0.0,0.0,0.0,0.9866,0.0,0.25055,0.0,0.0,0.0,0.0,0.0,0.0,0.9998,0.0003,0.26375,0.00165
100,0.25,12.0,True,1200.0,20000,0.4472135954999579,0.8944271909999159,0.1,0.05,0.0003,0.2565,0.01915283449820951,0.08810185110246346,0.953,0.9642,0.9535,0.9491,0.94825,0.95505,1.0308155273227153,0.9972541325682938,0.9219894365423533,0.8944271909999159,1.0,0.0003,0.2565,0.0,0.0,0.0,0.9903,0.0,0.2468,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0003,0.2565,0.00085
100,0.25,40.0,True,4000.0,20000,0.4472135954999579,0.8944271909999159,0.1,0.05,0.00025,0.26015,0.01879587167092497,0.08885167876211866,0.95105,0.95825,0.95125,0.9492,0.948,0.9552,1.0303100346829877,0.997404873802284,0.9215373101805304,0.8944271909999159,1.0,0.00025,0.26015,0.0,0.0,0.0,0.99125,0.0,0.2514,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.00025,0.26015,0.00045
100,1.0,4.0,True,400.0,20000,0.7071067811865476,0.7071067811865476,0.1,0.05,0.20995,0.4924,0.08744198085939016,0.14995710893723532,0.95215,0.9824,0.9515,0.9488,0.93835,0.97025,1.1230854428647414,0.9856604475870392,0.7941413325015556,0.7071067811865476,1.0,0.20995,0.4924,0.0,0.0,0.0,5e-05,5e-05,5e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0384,0.0384,0.03835,0.0203
100,1.0,12.0,True,1200.0,20000,0.7071067811865476,0.7071067811865476,0.1,0.05,0.1813,0.484,0.08030741770768529,0.14607385560450162,0.94915,0.97445,0.9493,0.949,0.9403,0.96855,1.1176537897309968,0.9869316865491097,0.7903005737376317,0.7071067811865476,1.0,0.1813,0.484,0.0,0.0,0.0,0.0001,0.0001,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0633,0.04905,0.0633,0.01685
100,1.0,40.0,True,4000.0,20000,0.7071067811865476,0.7071067811865476,0.1,0.05,0.1711,0.48845,0.0792070706623454,0.14636754200241647,0.94805,0.9637,0.9482,0.94975,0.9408,0.96765,1.1151029135200559,0.9865409754317458,0.7884968318709079,0.7071067811865476,1.0,0.1711,0.48845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07285,0.0421,0.07285,0.01595
100,4.0,4.0,True,400.0,20000,0.8944271909999159,0.44721359549995787,0.1,0.05,0.75015,0.79505,0.39085669202626216,0.4323028151041466,0.9499,0.9882,0.94945,0.94825,0.81965,0.98435,1.423021243034455,0.8968371939556873,0.636394446570258,0.44721359549995787,1.0,0.75015,0.79505,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100,4.0,12.0,True,1200.0,20000,0.8944271909999159,0.44721359549995787,0.1,0.05,0.73485,0.78345,0.37250043830590995,0.4166787767488885,0.9505,0.98235,0.94995,0.94895,0.8269,0.98585,1.4051208481958537,0.8987347761073352,0.6283891466336183,0.44721359549995787,1.0,0.73485,0.78345,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5e-05,5e-05,5e-05,5e-05
100,4.0,40.0,True,4000.0,20000,0.8944271909999159,0.44721359549995787,0.1,0.05,0.72515,0.78025,0.3634379447413888,0.40870984693633483,0.9484,0.9703,0.94825,0.94785,0.8339,0.9857,1.3978210666795368,0.9006017162261236,0.6251245850953419,0.44721359549995787,1.0,0.72515,0.78025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
300,0.25,4.0,True,1200.0,20000,0.4472135954999579,0.8944271909999159,0.1,0.05,0.0,0.04995,0.01155058945601017,0.05102141312269848,0.95085,0.96955,0.9521,0.94785,0.9479,0.9525,1.020082057028221,0.9990741533259948,0.9123891288571678,0.8944271909999159,1.0,0.0,0.04995,1.0,0.0,0.04995,1.0,0.0,0.04995,0.0001,0.0,0.0001,0.395,0.0,0.02315,1.0,0.0,0.04995,0.0
300,0.25,12.0,True,3600.0,20000,0.4472135954999579,0.8944271909999159,0.1,0.05,0.0,0.0493,0.010743518623189443,0.05084444087139705,0.95045,0.96285,0.95175,0.9463,0.9464,0.9514,1.018955494573153,0.9991211796442602,0.9113815007649951,0.8944271909999159,1.0,0.0,0.0493,1.0,0.0,0.0493,1.0,0.0,0.0493,0.0056,0.0,0.0056,0.4534,0.0,0.0232,1.0,0.0,0.0493,0.0
300,0.25,40.0,True,12000.0,20000,0.4472135954999579,0.8944271909999159,0.1,0.05,0.0,0.05095,0.010567923244677204,0.05132052392947836,0.9489,0.9561,0.94945,0.9501,0.9489,0.9537,1.0185095403979016,0.9991063494274962,0.9109826272247105,0.8944271909999159,1.0,0.0,0.05095,1.0,0.0,0.05095,1.0,0.0,0.05095,0.0651,0.0,0.024,0.4751,0.0,0.024,1.0,0.0,0.05095,0.0
300,1.0,4.0,True,1200.0,20000,0.7071067811865476,0.7071067811865476,0.1,0.05,0.0376,0.2358,0.047110057253840744,0.08494980960756042,0.94855,0.9821,0.94995,0.9507,0.9474,0.96395,1.0778329518135557,0.9956866000592308,0.7621429892136785,0.7071067811865476,1.0,0.0376,0.2358,0.0903,0.0045,0.08125,0.96055,0.0045,0.19635,0.0,0.0,0.0,0.0,0.0,0.0,0.67515,0.0045,0.1104,0.0021
300,1.0,12.0,True,3600.0,20000,0.7071067811865476,0.7071067811865476,0.1,0.05,0.02715,0.2312,0.04404315725208172,0.08387054704123165,0.94715,0.9718,0.948,0.9473,0.9454,0.96195,1.073534717460362,0.9958904777725189,0.7591036785554064,0.7071067811865476,1.0,0.02715,0.2312,0.0759,0.00225,0.0746,0.97045,0.00225,0.20165,0.0,0.0,0.0,0.0,0.0,0.0,0.80875,0.00225,0.1077,0.00105
300,1.0,40.0,True,12000.0,20000,0.7071067811865476,0.7071067811865476,0.1,0.05,0.02165,0.2199,0.04231541058194729,0.08194773609906776,0.9525,0.96695,0.9519,0.9518,0.94945,0.96455,1.0716200270731802,0.9955746134999274,0.7577497879987574,0.7071067811865476,1.0,0.02165,0.2199,0.06425,0.00125,0.0642,0.97545,0.00125,0.19535,0.0,0.0,0.0,0.0,0.0,0.0,0.8558,0.00125,0.0994,0.0007
300,4.0,4.0,True,1200.0,20000,0.8944271909999159,0.44721359549995787,0.1,0.05,0.5802,0.64995,0.21492051512116803,0.2440900564664672,0.951,0.98905,0.9511,0.94995,0.9137,0.98135,1.2788213801861494,0.9632757938651645,0.5719063074352665,0.44721359549995787,1.0,0.5802,0.64995,0.0,0.0,0.0,0.0005,0.0005,0.0005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
300,4.0,12.0,True,3600.0,20000,0.8944271909999159,0.44721359549995787,0.1,0.05,0.5568,0.6345,0.1997444618134669,0.23116769625432135,0.9504,0.98045,0.9514,0.95075,0.91785,0.98335,1.2637930039775762,0.9652782121556587,0.5651854132765044,0.44721359549995787,1.0,0.5568,0.6345,0.0,0.0,0.0,0.0001,0.0001,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
300,4.0,40.0,True,12000.0,20000,0.8944271909999159,0.44721359549995787,0.1,0.05,0.5448,0.62995,0.1914543746034729,0.22461743225464983,0.94985,0.97065,0.94965,0.95005,0.92085,0.98055,1.26081287822344,0.9703984351822208,0.5638526605229551,0.44721359549995787,1.0,0.5448,0.62995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
