experiment,structure,K,rho,d,method,claims_target,basis,reps,seed,latent_hits,latent_coverage,latent_mcse,observed_coverage,mean_radius
exp01,noise_more_correlated,250,0.29,8,latent_oracle,T2,infeasible reference: calibrated on latent curves,4000,8512570789060705611,3604,0.901,0.00472226111,0.86625,2.48860657
exp01,noise_more_correlated,250,0.4,8,observed_anchor,T1,exchangeability of observed curves,4000,5014366371104057713,3799,0.94975,0.00345416189,0.9075,2.70770211
exp01,noise_more_correlated,250,0.4,8,noise_enlargement,T2,observed anchor + sampling-error tail bound,4000,5014366371104057713,4000,1,0,0.99925,4.19416903
exp01,noise_more_correlated,250,0.4,8,oracle_rescaled,T2,common standardised-shape assumption (S) + known scales,4000,5014366371104057713,3605,0.90125,0.00471694916,0.8325,2.48164998
exp01,noise_more_correlated,250,0.4,8,latent_oracle,T2,infeasible reference: calibrated on latent curves,4000,5014366371104057713,3612,0.903,0.00467950318,0.83475,2.48773007
exp01,noise_more_correlated,250,0.52,8,observed_anchor,T1,exchangeability of observed curves,4000,16721847319213825235,3867,0.96675,0.00283480323,0.9025,2.89305743
exp01,noise_more_correlated,250,0.52,8,noise_enlargement,T2,observed anchor + sampling-error tail bound,4000,16721847319213825235,4000,1,0,0.99975,4.87617916
exp01,noise_more_correlated,250,0.52,8,oracle_rescaled,T2,common standardised-shape assumption (S) + known scales,4000,16721847319213825235,3586,0.8965,0.00481631991,0.7835,2.47115205
exp01,noise_more_correlated,250,0.52,8,latent_oracle,T2,infeasible reference: calibrated on latent curves,4000,16721847319213825235,3600,0.9,0.00474341649,0.78975,2.4889205
exp01,noise_more_correlated,250,0.8,8,observed_anchor,T1,exchangeability of observed curves,4000,2739263592826981175,3998,0.9995,0.000353464991,0.896,3.97268948
exp01,noise_more_correlated,250,0.8,8,noise_enlargement,T2,observed anchor + sampling-error tail bound,4000,2739263592826981175,4000,1,0,1,8.10505966
exp01,noise_more_correlated,250,0.8,8,oracle_rescaled,T2,common standardised-shape assumption (S) + known scales,4000,2739263592826981175,3442,0.8605,0.00547813267,0.41625,2.38361369
exp01,noise_more_correlated,250,0.8,8,latent_oracle,T2,infeasible reference: calibrated on latent curves,4000,2739263592826981175,3566,0.8915,0.00491751335,0.4605,2.48845961
exp01,noise_far_more_correlated,30,0.29,8,observed_anchor,T1,exchangeability of observed curves,4000,9451604696333641955,3713,0.92825,0.00408050051,0.90225,2.65331215
exp01,noise_far_more_correlated,30,0.29,8,noise_enlargement,T2,observed anchor + sampling-error tail bound,4000,9451604696333641955,3997,0.99925,0.000432850292,0.99875,3.98955762
exp01,noise_far_more_correlated,30,0.29,8,oracle_rescaled,T2,common standardised-shape assumption (S) + known scales,4000,9451604696333641955,3615,0.90375,0.0046633126,0.869,2.53929043
exp01,noise_far_more_correlated,30,0.29,8,latent_oracle,T2,infeasible reference: calibrated on latent curves,4000,9451604696333641955,3625,0.90625,0.00460871288,0.87,2.54207161
exp01,noise_far_more_correlated,30,0.4,8,observed_anchor,T1,exchangeability of observed curves,4000,1620002100967839284,3784,0.946,0.00357365359,0.90525,2.76104267
exp01,noise_far_more_correlated,30,0.4,8,noise_enlargement,T2,observed anchor + sampling-error tail bound,4000,1620002100967839284,3999,0.99975,0.000249968748,0.999,4.48825766
exp01,noise_far_more_correlated,30,0.4,8,oracle_rescaled,T2,common standardised-shape assumption (S) + known scales,4000,1620002100967839284,3584,0.896,0.004826593,0.838,2.53053741
exp01,noise_far_more_correlated,30,0.4,8,latent_oracle,T2,infeasible reference: calibrated on latent curves,4000,1620002100967839284,3594,0.8985,0.00477487565,0.84575,2.54103668
exp01,noise_far_more_correlated,30,0.52,8,observed_anchor,T1,exchangeability of observed curves,4000,16259812316535359406,3852,0.963,0.0029845854,0.89425,2.94744746
exp01,noise_far_more_correlated,30,0.52,8,noise_enlargement,T2,observed anchor + sampling-error tail bound,4000,16259812316535359406,4000,1,0,0.99975,5.1933337
exp01,noise_far_more_correlated,30,0.52,8,oracle_rescaled,T2,common standardised-shape assumption (S) + known scales,4000,16259812316535359406,3545,0.88625,0.0050202325,0.7695,2.51761017
exp01,noise_far_more_correlated,30,0.52,8,latent_oracle,T2,infeasible reference: calibrated on latent curves,4000,16259812316535359406,3570,0.8925,0.00489754403,0.7785,2.54054993
exp01,noise_far_more_correlated,30,0.8,8,observed_anchor,T1,exchangeability of observed curves,4000,9782118522573385793,3995,0.99875,0.0005586675,0.903,3.99373048
exp01,noise_far_more_correlated,30,0.8,8,noise_enlargement,T2,observed anchor + sampling-error tail bound,4000,9782118522573385793,4000,1,0,1,8.52485136
exp01,noise_far_more_correlated,30,0.8,8,oracle_rescaled,T2,common standardised-shape assumption (S) + known scales,4000,9782118522573385793,3408,0.852,0.00561462376,0.476,2.39623829
exp01,noise_far_more_correlated,30,0.8,8,latent_oracle,T2,infeasible reference: calibrated on latent curves,4000,9782118522573385793,3623,0.90575,0.0046197115,0.5345,2.5402627
exp01,noise_far_more_correlated,100,0.29,8,observed_anchor,T1,exchangeability of observed curves,4000,13325320620871537265,3705,0.92625,0.00413252155,0.89825,2.60998087
exp01,noise_far_more_correlated,100,0.29,8,noise_enlargement,T2,observed anchor + sampling-error tail bound,4000,13325320620871537265,3997,0.99925,0.000432850292,0.99825,3.70692267
exp01,noise_far_more_correlated,100,0.29,8,oracle_rescaled,T2,common standardised-shape assumption (S) + known scales,4000,13325320620871537265,3594,0.8985,0.00477487565,0.869,2.49782124
exp01,noise_far_more_correlated,100,0.29,8,latent_oracle,T2,infeasible reference: calibrated on latent curves,4000,13325320620871537265,3613,0.90325,0.00467411589,0.86975,2.49987498
exp01,noise_far_more_correlated,100,0.4,8,observed_anchor,T1,exchangeability of observed curves,4000,17728154813562045522,3792,0.948,0.00351055551,0.90725,2.71535444
exp01,noise_far_more_correlated,100,0.4,8,noise_enlargement,T2,observed anchor + sampling-error tail bound,4000,17728154813562045522,4000,1,0,0.99925,4.19250212
exp01,noise_far_more_correlated,100,0.4,8,oracle_rescaled,T2,common standardised-shape assumption (S) + known scales,4000,17728154813562045522,3617,0.90425,0.00465247078,0.85175,2.48866346
exp01,noise_far_more_correlated,100,0.4,8,latent_oracle,T2,infeasible reference: calibrated on latent curves,4000,17728154813562045522,3634,0.9085,0.00455872104,0.8525,2.49677079
