item,essround,min_n,K,m,nominal_rank,n_countries,zero_Dhat,nu_med,nu_q10,nu_q90,Fc_med,gamma_hat,gamma_lo,gamma_hi,t_lo,fallback,struct_R2_on_Dhat,struct_slope,skew_dev,kurt_dev,rho2_hat,w_certified,w_gaussian,w_sep_bonf,w_uncorrected,cert_over_unc,cert_over_sep,cert_over_gauss
stflife,10,40,217,208,0.9541284403669725,22,3,30.0,8.0,181.60000000000002,0.1034857136505916,0.8368650847739142,0.7331210651649971,0.9406091043828313,0.7103646944214765,0,0.05768860948055421,-0.8368650847739142,1.1783113139045853,4.527295358503636,0.45083161106987435,0.08042642502052662,0.09524540403584618,0.10558505148416295,0.11001432726333218,0.7310541001447616,0.7617217010363446,0.8444126604813147
stflife,10,60,186,178,0.9518716577540107,22,1,35.0,11.0,197.5,0.1034857136505916,0.7944051958729227,0.7039909868316045,0.8848194049142408,0.8618248418435105,0,0.11045820041628329,-0.7944051958729227,0.4423281005623138,1.5437466044148982,0.566192923868078,0.06492469370814156,0.07969565603832507,0.08847760241772724,0.09775618389219012,0.6641492243574423,0.7337980679179588,0.8146578739112172
stflife,10,80,153,147,0.9545454545454546,22,0,42.0,13.0,231.80000000000013,0.1034857136505916,0.7000043690210428,0.615272854331198,0.7847358837108875,0.5863676692710831,0,0.4687526133815326,-0.7000043690210428,0.4010539865209562,2.107399702833571,0.5180004858271797,0.07131197479417083,0.08444619168359985,0.09463935739879087,0.09870750778781551,0.7224574542745532,0.7535128804148233,0.8444664391895864
stflife,10,100,134,129,0.9555555555555556,22,0,51.0,15.0,243.8,0.1034857136505916,0.7201175040494481,0.6472545744859597,0.7929804336129365,0.657839580565882,0,0.4997110385317478,-0.7201175040494481,0.36694411114089215,2.04062642951976,0.5314708984193627,0.06470966617119846,0.07798654359428454,0.08690713381325796,0.09775618389219012,0.6619495933123081,0.7445840557835403,0.8297542523213054
stflife,10,150,80,77,0.9506172839506173,22,0,75.0,24.9,286.0000000000002,0.07756183367322976,0.7933762372546715,0.7133596595190608,0.8733928149902823,1.0710530221889987,0,0.5724975331022282,-0.7933762372546715,-0.30445117303510383,1.0769857304087935,0.6802434897105776,0.04556110062734705,0.05529303521178777,0.06558630037875744,0.07044345523105862,0.6467754950109134,0.6946740457112855,0.823993482232171
stflife,11,40,230,220,0.9523809523809523,24,5,44.5,14.0,193.19999999999993,0.07883832251294373,0.1527162678936226,0.037236321632917874,0.2681962141543274,0.233568373746411,0,0.0011036421063947977,-0.1527162678936226,0.9267767457479648,5.687448947192351,0.40846862652461363,0.10657262465674416,0.11273172944373315,0.1021405788574724,0.11863330357749367,0.8983364826145027,1.0433916260202154,0.9453649401337081
stflife,11,60,189,181,0.9526315789473684,24,2,52.0,16.8,220.20000000000027,0.07883832251294373,0.4099522967861609,0.2960832595867719,0.52382133398555,0.29554832356849736,0,0.014212189065333614,-0.4099522967861609,1.3848888961231922,7.750518597114857,0.4024632578688035,0.09641987053347564,0.10370708769637661,0.08570988107371875,0.10654685669412686,0.9049527459104343,1.1249562982189332,0.929732698846623
stflife,11,80,160,153,0.9503105590062112,24,0,62.0,20.9,246.49999999999991,0.07793859634932523,0.5045868043105709,0.4143090048887908,0.5948646037323511,0.35093612061245044,0,0.1864693863872785,-0.5045868043105709,1.7500412166832147,10.492104424240278,0.4048339270506489,0.0762337271817831,0.09564776212417872,0.07554362060150711,0.08920958422273703,0.8545463791361697,1.0091352065837076,0.7970257274060366
stflife,11,100,138,133,0.9568345323741008,24,0,70.0,29.700000000000003,267.7,0.07703887018570674,0.5296386877842364,0.42695855296734764,0.6323188226011252,0.32432318199723864,0,0.22935815104498558,-0.5296386877842364,2.1687747529346333,12.521720213413056,0.38045255899245517,0.07635779546133774,0.09661807830955262,0.07576580929211425,0.08920958422273703,0.8559371296999753,1.0078133682561363,0.7903054666094332
stflife,11,150,96,93,0.9587628865979382,23,0,79.0,38.0,281.0,0.07883832251294373,0.5279838807351697,0.4710167718329184,0.584950989637421,0.21070949116222132,0,0.26159237454568907,-0.5279838807351697,2.3044263522393407,12.562087119164454,0.24988378679203796,0.08646921533281263,0.11209296027882129,0.08665325165522682,0.09390545043833223,0.9208114643952111,0.9978761752282946,0.7714062963251941
happy,9,40,276,264,0.9530685920577617,29,6,30.0,8.0,211.0,0.05620366468466559,0.24541971527102238,0.14654897224668484,0.3442904582953599,0.16420392872286285,0,0.003339522668490469,-0.24541971527102238,0.6367303420228302,7.202430126543858,0.4020874080628549,0.10171793806487998,0.11217108853491245,0.0991590433968229,0.111432615704186,0.9128201597179139,1.0258059636357795,0.9068106532033966
happy,9,60,231,221,0.9525862068965517,29,3,39.0,11.0,231.0,0.05620366468466559,0.28861332153604813,0.18603522075103618,0.3911914223210601,0.2599015728341264,0,0.006564745794934934,-0.28861332153604813,0.6951876678297739,5.194805914505972,0.5118219688092666,0.07452538548107486,0.08491414948072788,0.07053609483597997,0.08288940433688091,0.8990942337839367,1.05655672679883,0.8776556785508303
happy,9,80,198,190,0.9547738693467337,29,2,46.5,15.0,243.60000000000002,0.05620366468466559,0.11957403152360283,0.03766770271779708,0.20148036032940858,0.21723505125843817,0,0.0012474271987807928,-0.11957403152360283,0.6282451044230071,6.211489300102235,0.4426758839348099,0.07500731771135724,0.08610838693169319,0.07683377108869092,0.082442855949098,0.9098097930725298,0.9762285079665637,0.8710802789844148
happy,9,100,172,165,0.953757225433526,29,1,54.0,15.100000000000001,265.6000000000001,0.05620366468466559,0.04797602362378723,-0.034225413392424554,0.13017746063999902,0.2620494377836717,0,0.0003016552864772981,-0.04797602362378723,0.7809834870431146,5.762356981812719,0.43973689914609315,0.06861775115212812,0.07135341901622454,0.06516408778163404,0.07702919688499366,0.8908018508173723,1.052999489259596,0.9616603114214559
